Country,Year,Value,Rank,Top10Rank
FRANCE,1998,0.0,124.0,
FRANCE,1999,0.0,129.0,
FRANCE,2000,0.0,128.0,
FRANCE,2001,0.0,133.0,
FRANCE,2002,0.0,127.0,
FRANCE,2003,0.0,131.0,
ALBANIA,1995,304.0,91.0,
ALGERIA,1995,520.0,72.0,
ANGUILLA,1995,107.0,105.0,
ANTIGUA AND BARBUDA,1995,447.0,76.0,
ARUBA,1995,912.0,63.0,
AUSTRALIA,1995,3726.0,30.0,
AZERBAIJAN,1995,93.0,106.0,
BAHAMAS,1995,3239.0,34.0,
BAHRAIN,1995,2311.0,40.0,
BARBADOS,1995,927.0,61.0,
BELIZE,1995,342.0,88.0,
BENIN,1995,580.0,69.0,
BERMUDA,1995,557.0,71.0,
BONAIRE,1995,70.0,110.0,
BOTSWANA,1995,636.0,68.0,
BRITISH VIRGIN ISLANDS,1995,365.0,86.0,
BRUNEI DARUSSALAM,1995,498.0,73.0,
BULGARIA,1995,8005.0,18.0,
CANADA,1995,41657.0,8.0,8.0
CAYMAN ISLANDS,1995,1044.0,57.0,
CHAD,1995,58.0,113.0,
CHINA,1995,46387.0,7.0,7.0
COLOMBIA,1995,1433.0,51.0,
"CONGO, DEMOCRATIC REPUBLIC OF THE",1995,85.0,108.0,
COSTA RICA,1995,924.0,62.0,
COTE D´IVOIRE,1995,188.0,99.0,
CROATIA,1995,16100.0,12.0,
CUBA,1995,745.0,66.0,
CURAÇAO,1995,396.0,83.0,
CYPRUS,1995,2253.0,41.0,
DOMINICA,1995,203.0,98.0,
DOMINICAN REPUBLIC,1995,1806.0,46.0,
ECUADOR,1995,440.0,77.0,
EGYPT,1995,3133.0,35.0,
ERITREA,1995,315.0,90.0,
ESTONIA,1995,2111.0,44.0,
FIJI,1995,476.0,74.0,
FRENCH POLYNESIA,1995,186.0,100.0,
GABON,1995,203.0,98.0,
GEORGIA,1995,85.0,108.0,
GREECE,1995,10712.0,15.0,
GRENADA,1995,369.0,85.0,
GUADELOUPE,1995,1059.0,56.0,
GUATEMALA,1995,563.0,70.0,
HAITI,1995,370.0,84.0,
"HONG KONG, CHINA",1995,10200.0,17.0,
