Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ALBANIA,..,..,..,..,..,..,955,"1,303","1,350","1,694","2,097","2,616","2,979","3,716","3,404","3,443","4,120","3,959","3,928","4,146","4,504","4,852","5,186","5,415","5,922","2,907","4,191","5,882"
ALGERIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AMERICAN SAMOA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANDORRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANGOLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANGUILLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANTIGUA AND BARBUDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARGENTINA,..,..,..,..,..,..,..,..,..,"4,436","4,481","4,533","4,928","5,425","5,793","6,083","7,676","8,295","9,844","10,022","13,159","18,645","21,583","18,411","15,352","4,087","1,074","7,891"
ARMENIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARUBA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AUSTRALIA,"2,519","2,732","2,933","3,161","3,210","3,498","3,443","3,461","3,388","4,369","4,756","4,941","5,462","5,808","6,276","7,103","7,788","8,212","9,052","9,480","9,810","10,390","10,932","11,403","11,624","2,832",301,"5,226"
AUSTRIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AZERBAIJAN,..,432,654,"1,146","1,204","1,326","1,130","1,141","1,475","1,473","1,830","1,836","1,631","2,162","2,363","3,176","3,550","3,874","4,285","4,244","4,096","4,282","4,109","4,908","5,568","1,165",975,"1,490"
BAHAMAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BAHRAIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,741","3,293","3,136","2,868","2,950",752,..,..
BANGLADESH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BARBADOS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BELARUS,..,..,..,..,..,"4,747","4,008","6,160","6,518","6,924","6,596","6,811","7,512","6,323","6,440","7,464","7,542","8,427","8,841","7,246","6,972","8,340","9,209","9,326","9,221","2,810","2,616","3,869"
BELGIUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"19,328","21,127","23,721","10,208","10,890","20,428"
BELIZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BENIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BERMUDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BHUTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,..,..,..
"BOLIVIA, PLURINATIONAL STATE OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BONAIRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOSNIA AND HERZEGOVINA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOTSWANA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRAZIL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRITISH VIRGIN ISLANDS,..,..,..,..,..,..,..,..,..,..,..,171,166,166,140,151,145,139,..,..,..,..,..,..,..,..,..,..
BRUNEI DARUSSALAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BULGARIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,930","4,158","4,633","5,392","6,228","6,699","7,007","3,973","5,182","7,252"
BURKINA FASO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BURUNDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CABO VERDE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAMBODIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CAMEROON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CANADA,"55,697","56,371","54,925","46,985","46,448","47,182","43,201","39,239","39,225","41,786","44,031","46,912","50,045","51,737","47,484","55,639","61,911","65,179","65,798","63,737","55,971","52,979","54,632","56,340","56,157","14,605","7,906","31,936"
CAYMAN ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CENTRAL AFRICAN REPUBLIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHAD,..,..,..,..,..,..,..,..,..,..,..,..,..,58,66,39,76,79,..,..,..,56,52,..,..,6,14,..
CHILE,..,..,..,..,..,"1,528","1,340","1,444","1,509","1,727","2,031","2,264","2,451","2,317","2,359","2,737","3,220","3,448","3,674","3,842","4,103","4,269","4,367","4,605","4,091","1,162",519,"2,366"
CHINA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
