Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands),Region
Afghanistan,33.0,65.0,..,..,..,Asia
Albania,41.0,20.0,..,..,..,Europe
Algeria,28.0,3.0,..,..,..,Africa
American Samoa,-14.3333,-170.0,..,..,..,Oceania
Andorra,42.5,1.6,..,..,..,Europe
Angola,-12.5,18.5,..,..,..,Africa
Anguilla,18.25,-63.1667,..,..,..,North America
Antarctica,-90.0,0.0,..,..,..,Unknown
Antigua and Barbuda,17.05,-61.8,..,..,..,North America
Argentina,-34.0,-64.0,113132.4,50331,62802,South America
Armenia,40.0,45.0,..,1930,..,Asia
Aruba,12.5,-69.9667,..,..,..,North America
Australia,-27.0,133.0,309626,108212,201414,Oceania
Austria,47.3333,13.3333,..,13420,..,Europe
Azerbaijan,40.5,47.5,17778,13931,3847,Asia
Bahamas,24.25,-76.0,..,..,..,North America
Bahrain,26.0,50.55,..,..,..,Asia
Bangladesh,24.0,90.0,..,..,..,Asia
Barbados,13.1667,-59.5333,..,..,..,North America
Belarus,53.0,28.0,4290,2888,1402,Europe
Belgium,50.8333,4.0,..,9406,..,Europe
Belize,17.25,-88.75,..,..,..,North America
Benin,9.5,2.25,..,..,..,Africa
Bermuda,32.3333,-64.75,..,..,..,North America
Bhutan,27.5,90.5,..,..,..,Asia
"Bolivia, Plurinational State of",-17.0,-65.0,..,..,..,South America
Bosnia and Herzegovina,44.0,18.0,..,..,..,Europe
Botswana,-22.0,24.0,..,..,..,Africa
Bouvet Island,-54.4333,3.4,..,..,..,Antarctica
Brazil,-10.0,-55.0,..,..,..,South America
British Indian Ocean Territory,-6.0,71.5,..,..,..,Asia
Brunei Darussalam,4.5,114.6667,..,..,..,Asia
Bulgaria,43.0,25.0,6397,4132,2266,Europe
Burkina Faso,13.0,-2.0,..,..,..,Africa
Burundi,-3.5,30.0,..,..,..,Africa
Cambodia,13.0,105.0,13934,..,..,Asia
Cameroon,6.0,12.0,..,..,..,Africa
Canada,60.0,-95.0,258831,90833,167998,North America
Cape Verde,16.0,-24.0,..,..,..,Unknown
Cayman Islands,19.5,-80.5,..,..,..,North America
Central African Republic,7.0,21.0,..,..,..,Africa
Chad,15.0,19.0,..,..,..,Africa
Chile,-30.0,-71.0,85879,61093,24.787,South America
China,35.0,105.0,2530000,..,..,Asia
Christmas Island,-10.5,105.6667,..,..,..,Asia
Cocos (Keeling) Islands,-12.5,96.8333,..,..,..,Asia
Colombia,4.0,-72.0,133260,..,..,South America
Comoros,-12.1667,44.25,..,..,..,Africa
Congo,-1.0,15.0,..,..,..,Africa
"Congo, the Democratic Republic of the",0.0,25.0,..,..,..,Africa
Cook Islands,-21.2333,-159.7667,..,..,..,Oceania
Costa Rica,10.0,-84.0,1305,..,..,North America
Côte d'Ivoire,8.0,-5.0,7122,3148,3974,Africa
Croatia,45.1667,15.5,..,..,..,Europe
Cuba,21.5,-80.0,..,..,..,North America
Cyprus,35.0,33.0,..,..,..,Asia
Czech Republic,49.75,15.5,..,26149,..,Europe
Denmark,56.0,10.0,67066,20694,46372,Europe
