Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands)
Afghanistan,33,65,..,..,..
Albania,41,20,..,..,..
Algeria,28,3,..,..,..
American Samoa,-14.3333,-170,..,..,..
Andorra,42.5,1.6,..,..,..
Angola,-12.5,18.5,..,..,..
Anguilla,18.25,-63.1667,..,..,..
Antarctica,-90,0,..,..,..
Antigua and Barbuda,17.05,-61.8,..,..,..
Argentina,-34,-64,113132.4,50331,62802
Armenia,40,45,..,1930,..
Aruba,12.5,-69.9667,..,..,..
Australia,-27,133,309626,108212,201414
Austria,47.3333,13.3333,..,13420,..
Azerbaijan,40.5,47.5,17778,13931,3847
Bahamas,24.25,-76,..,..,..
Bahrain,26,50.55,..,..,..
Bangladesh,24,90,..,..,..
Barbados,13.1667,-59.5333,..,..,..
Belarus,53,28,4290,2888,1402
Belgium,50.8333,4,..,9406,..
Belize,17.25,-88.75,..,..,..
Benin,9.5,2.25,..,..,..
Bermuda,32.3333,-64.75,..,..,..
Bhutan,27.5,90.5,..,..,..
"Bolivia, Plurinational State of",-17,-65,..,..,..
Bosnia and Herzegovina,44,18,..,..,..
Botswana,-22,24,..,..,..
Bouvet Island,-54.4333,3.4,..,..,..
Brazil,-10,-55,..,..,..
British Indian Ocean Territory,-6,71.5,..,..,..
Brunei Darussalam,4.5,114.6667,..,..,..
Bulgaria,43,25,6397,4132,2266
Burkina Faso,13,-2,..,..,..
Burundi,-3.5,30,..,..,..
Cambodia,13,105,13934,..,..
Cameroon,6,12,..,..,..
Canada,60,-95,258831,90833,167998
Cape Verde,16,-24,..,..,..
Cayman Islands,19.5,-80.5,..,..,..
Central African Republic,7,21,..,..,..
Chad,15,19,..,..,..
Chile,-30,-71,85879,61093,24.787
China,35,105,2530000,..,..
Christmas Island,-10.5,105.6667,..,..,..
Cocos (Keeling) Islands,-12.5,96.8333,..,..,..
Colombia,4,-72,133260,..,..
Comoros,-12.1667,44.25,..,..,..
Congo,-1,15,..,..,..
"Congo, the Democratic Republic of the",0,25,..,..,..
Cook Islands,-21.2333,-159.7667,..,..,..
Costa Rica,10,-84,1305,..,..
Côte d'Ivoire,8,-5,7122,3148,3974
Croatia,45.1667,15.5,..,..,..
Cuba,21.5,-80,..,..,..
Cyprus,35,33,..,..,..
Czech Republic,49.75,15.5,..,26149,..
Denmark,56,10,67066,20694,46372
Djibouti,11.5,43,..,..,..
Dominica,15.4167,-61.3333,..,..,..
Dominican Republic,19,-70.6667,..,..,..
Ecuador,-2,-77.5,13937,9756,4181
Egypt,27,30,..,..,..
El Salvador,13.8333,-88.9167,..,..,..
Equatorial Guinea,2,10,..,..,..
Eritrea,15,39,..,..,..
Estonia,59,26,219,2640,..
Ethiopia,8,38,..,..,..
Falkland Islands (Malvinas),-51.75,-59,..,..,..
Faroe Islands,62,-7,..,..,..
Fiji,-18,175,..,..,..
Finland,64,26,..,27100,..
France,46,2,274644,201310,73335
French Guiana,4,-53,..,..,..
French Polynesia,-15,-140,..,..,..
French Southern Territories,-43,67,..,..,..
Gabon,-1,11.75,..,..,..
Gambia,13.4667,-16.5667,..,..,..
Georgia,42,43.5,16333,7692,8641
Germany,51,9,..,135069,..
Ghana,8,-2,..,..,..
Gibraltar,36.1833,-5.3667,..,..,..
Greece,39,22,21682,5990,15692
Greenland,72,-40,..,..,..
Grenada,12.1167,-61.6667,..,..,..
Guadeloupe,16.25,-61.5833,..,..,..
Guam,13.4667,144.7833,..,..,..
Guatemala,15.5,-90.25,..,..,..
Guernsey,49.5,-2.56,..,..,..
Guinea,11,-10,..,..,..
Guinea-Bissau,12,-15,..,..,..
Guyana,5,-59,..,..,..
Haiti,19,-72.4167,..,..,..
Heard Island and McDonald Islands,-53.1,72.5167,..,..,..
Holy See (Vatican City State),41.9,12.45,..,..,..
Honduras,15,-86.5,..,..,..
Hong Kong,22.25,114.1667,..,..,..
Hungary,47,20,45511,12499,33013
Iceland,65,-18,..,..,..
India,20,77,..,1731010,..
Indonesia,-5,120,734865,497334,237531
"Iran, Islamic Republic of",32,53,..,..,..
Iraq,33,44,..,..,..
Ireland,53,-8,..,..,..
Isle of Man,54.23,-4.55,..,..,..
Israel,31.5,34.75,..,..,..
Italy,42.8333,12.8333,90260,43996,46264
Jamaica,18.25,-77.5,..,..,..
