GeoAreaName,TimePeriod,Value,GeoAreaCode,GeoCodeStr
Albania,2021,3.02029,8,8
Algeria,2021,0.81195,12,12
Antigua and Barbuda,2021,9.73113,28,28
Argentina,2021,0.84015,32,32
Australia,2021,1.6,36,36
Austria,2021,2.6604,40,40
Bahrain,2021,3.03483,48,48
Belgium,2021,3.54,56,56
Bermuda,2021,2.2,60,60
Cameroon,2021,4.82,120,120
Canada,2021,0.98237,124,124
Colombia,2021,1.68666,170,170
Costa Rica,2021,2.71972,188,188
Czechia,2021,1.55283,203,203
Denmark,2021,1.52862,208,208
Fiji,2021,-0.1,242,242
Finland,2021,1.50954,246,246
France,2021,3.02301,250,250
Germany,2021,2.16005,276,276
Greece,2021,5.24736,300,300
Guam,2021,6.3,316,316
Guyana,2021,20.0,328,328
"China, Hong Kong Special Administrative Region",2021,0.08267,344,344
Hungary,2021,1.6435,348,348
Iceland,2021,3.9,352,352
India,2021,0.90541,356,356
Israel,2021,1.06784,376,376
Japan,2021,0.6,392,392
Kazakhstan,2021,0.7,398,398
Kuwait,2021,0.39951,414,414
Kyrgyzstan,2021,3.2,417,417
Latvia,2021,2.6,428,428
Lithuania,2021,1.77,440,440
Luxembourg,2021,0.73459,442,442
"China, Macao Special Administrative Region",2021,28.00115,446,446
Malaysia,2021,0.7529,458,458
Mauritius,2021,2.3,480,480
Mexico,2021,7.62444,484,484
Republic of Moldova,2021,0.58281,498,498
Montserrat,2021,0.5,500,500
Mozambique,2021,2.46,508,508
Oman,2021,2.37241,512,512
Namibia,2021,2.0,516,516
Nepal,2021,1.6,524,524
Netherlands (Kingdom of the),2021,2.4,528,528
New Zealand,2021,3.4,554,554
Norway,2021,2.5,578,578
Marshall Islands,2021,1.8,584,584
Panama,2021,5.4,591,591
Paraguay,2021,0.21,600,600
Peru,2021,1.67638,604,604
Philippines,2021,5.21305,608,608
Portugal,2021,5.7,620,620
Qatar,2021,2.31883,634,634
Romania,2021,1.58301,642,642
Russian Federation,2021,2.37011,643,643
Saudi Arabia,2021,2.69934,682,682
Slovakia,2021,1.40964,703,703
Viet Nam,2021,1.97,704,704
South Africa,2021,2.2564,710,710
Spain,2021,5.50139,724,724
Eswatini,2021,0.69022,748,748
Sweden,2021,1.93008,752,752
Switzerland,2021,1.62282,756,756
Tajikistan,2021,3.37083,762,762
Thailand,2021,0.8405,764,764
United Arab Emirates,2021,6.2,784,784
Tunisia,2021,1.94018,788,788
Türkiye,2021,3.4,792,792
United States of America,2021,2.76457,840,840
Samoa,2021,5.45139,882,882
