city,name,review_count,rating,category,longitude,latitude
Hong Kong,Hong Kong Disneyland,45950,4.4,Theme park,114.041313,22.3129375
Hong Kong,Ocean Park,27703,4.3,Amusement park,114.175687,22.2466875
Hong Kong,Tian Tan Buddha,13865,4.6,Monument,113.904937,22.2539375
Hong Kong,Victoria Harbour,3424,4.5,Tourist attraction,114.168937,22.2825625
Hong Kong,Hong Kong Wetland Park,4602,4.2,Ecological park,114.006563,22.4700625
Hong Kong,Golden Bauhinia Square,657,4,Tourist attraction,114.173937,22.2844375
Hong Kong,Hong Kong Park,1122,4.4,Park,114.160812,22.2769375
Hong Kong,Sky 100 Hong Kong Observation Deck,6044,4.3,Observation deck,114.160188,22.3034375
Hong Kong,Former Kowloon-Canton Railway Clock Tower,4156,4.3,Historical landmark,114.169562,22.2935625
Hong Kong,Hong Kong Space Museum,5492,4.1,Science museum,114.171937,22.2943125
Hong Kong,Soho Hong Kong,3600,4.1,Tourist attraction,114.152812,22.2815625
Singapore,Singapore Santosa island,,,Tourist attraction,103.836438,1.2433125
Hong Kong,Hong Kong UNESCO Global Geopark,236,4.5,Tourist attraction,114.375563,22.3645625
Hong Kong,Nan Lian Garden,1121,4.4,City park,114.204563,22.3395625
Hong Kong,The Peak Tower,24477,4.3,Tourist attraction,114.149938,22.2711875
Hong Kong,Ngong Ping 360,13287,4.5,Gondola lift station,113.901437,22.2563125
Hong Kong,Tai Kwun - Centre for Heritage and Arts,9952,4.3,Heritage building,114.153937,22.2813125
Hong Kong,Adventureland,1846,4.4,Theme park,114.041688,22.3116875
Hong Kong,Temple Street Night Market,17099,3.8,Night market,114.169937,22.3065625
Hong Kong,Hair Raiser,504,4.6,Theme park,114.172437,22.2353125
Hong Kong,Old Hong Kong,68,3.9,Theme park,114.176437,22.2461875
Hong Kong,Lan Kwai Fong,7867,4.2,Cultural landmark,114.155438,22.2810625
Hong Kong,Stanley Promenade,658,4.3,Park,114.211437,22.2184375
Hong Kong,Man Mo Temple,4657,4.2,Taoist temple,114.150188,22.2839375
Hong Kong,Avenue of Stars,10478,4.2,Scenic spot,114.174187,22.2930625
Hong Kong,Po Lin Monastery,8546,4.4,Buddhist temple,113.908062,22.2554375
Hong Kong,Forsgate Conservatory,203,4.3,Botanical garden,114.162187,22.2771875
Hong Kong,Iron Man Experience,2049,4.6,Theme park,114.042688,22.3144375
Hong Kong,The Peak Tram,12924,4.2,Transportation service,114.159187,22.2776875
Hong Kong,Kowloon Public Pier,966,4.4,Tourist attraction,114.169687,22.2930625
Hong Kong,Good Wish Garden,34,4.4,Garden,114.193688,22.3429375
Hong Kong,Hong Kong Heritage Museum,5947,4.3,Heritage museum,114.185313,22.3770625
Hong Kong,Kowloon Walled City Park,3143,4.2,Park,114.190313,22.3321875
Hong Kong,Lam Tsuen Wishing Tree,3387,3.8,Tourist attraction,114.142438,22.4568125
Hong Kong,Stanley Market,6823,4,Market,114.212688,22.2181875
Hong Kong,Central-Mid-Levels Escalators,7403,4,Scenic spot,114.154937,22.2838125
Hong Kong,Silvermine Waterfall,940,3.9,Tourist attraction,113.991563,22.2735625
Hong Kong,Lovers' Rock,680,3.9,Tourist attraction,114.176437,22.2709375
Hong Kong,Victoria Peak's Lions Pavilion,495,4.6,Observation deck,114.150812,22.2709375
Hong Kong,Victoria Park,4418,4.1,Park,114.188688,22.2823125
Hong Kong,YUEN KONG CHAU,,,Tourist attraction,114.367063,22.3258125
Hong Kong,Victoria Peak Pavillion,626,4.5,Tourist attraction,114.143438,22.2740625
Hong Kong,Dr Sun Yat-sen Museum,1515,4.2,History museum,114.150812,22.2819375
Hong Kong,Snoopy World,536,4.1,Entertainment and recreation,114.188688,22.3818125
Hong Kong,Mystic Manor,2222,4.5,Theme park,114.040938,22.3099375
Hong Kong,Hong Kong Zoological and Botanical Gardens,16,4.5,Park,114.156313,22.2778125
Hong Kong,Flagstaff House Museum of Tea Ware,512,4.2,Museum,114.162562,22.2784375
Hong Kong,Tsz Shan Monastery,3329,4.6,Buddhist temple,114.205812,22.4741875
Hong Kong,Cheung Chau Rock Carvings,134,3.8,Tourist attraction,114.032688,22.2079375
Hong Kong,Castle of Magical Dreams,27,4.4,Tourist attraction,114.041063,22.3125625
Hong Kong,Madame Tussauds Hong Kong,3586,4.3,Wax museum,114.149688,22.2711875
Hong Kong,Noah's Ark Hong Kong Theme Park,563,3.9,Theme park,114.061563,22.3483125
Hong Kong,The Garden of Stars,398,4.1,Garden,114.175937,22.2965625
Hong Kong,Yaumatei Tin Hau Temple,1132,4,Taoist temple,114.170562,22.3099375
Hong Kong,Mai Po Wetlands,72,4.6,Tourist attraction,114.042188,22.4878125
Hong Kong,Wan Chai Park,613,3.8,Park,114.176187,22.2756875
Bangkok,Haroon Mosque ,431,4.7,Mosque,100.514563,13.7255625
Hong Kong,Harbour Promenade,45,4.4,Tourist attraction,114.172812,22.2931875
Hong Kong,Hong Kong Cultural Centre,7748,4.2,Cultural center,114.170312,22.2938125
Hong Kong,Hutchison Park,809,4,Park,114.190938,22.3075625
Hong Kong,Hong Kong Disneyland Hyperspace Mountain,138,4.5,Theme park,114.041188,22.3139375
Hong Kong,Reclining Rock,107,3.9,Tourist attraction,114.018188,22.1985625
Hong Kong,Tarzan's Treehouse,68,4.1,Tourist attraction,114.041688,22.3113125
Hong Kong,Kung Man Village,3,5,Tourist attraction,114.120938,22.2806875
Hong Kong,Ten Thousand Buddhas Monastery,1941,4.4,Buddhist temple,114.184813,22.3875625
Hong Kong,Hong Kong Museum of Coastal Defence,1023,4.2,Local history museum,114.235688,22.2818125
Hong Kong,Edward Youde Aviary,503,4.5,Bird watching area,114.160438,22.2764375
Hong Kong,Mai Po Nature Reserve,551,4.4,Nature preserve,114.033938,22.4950625
Hong Kong,Tsui Sing Lau Pagoda,338,3.9,Heritage building,114.00625,22.44875
Hong Kong,Tsing Ma Bridge,1383,4.3,Bridge,114.073312,22.3511875
Hong Kong,Sai Kung Waterfront Park,438,4.1,Park,114.274437,22.3824375
Hong Kong,Hong Kong Museum of History,7110,4.4,Local history museum,114.177312,22.3018125
Hong Kong,Tsing Yi Park,2362,4,Park,114.105688,22.3559375
Hong Kong,Sai Kung Seafood Street,2171,4,Tourist attraction,114.272063,22.3794375
Hong Kong,Sea Jelly Spectacular,173,4.4,Aquarium,114.172437,22.2333125
Hong Kong,The Hong Kong Jockey Club Sichuan Treasures,145,4.1,Amusement park,114.175437,22.2454375
Hong Kong,Jamia Mosque,275,4.5,Mosque,114.151813,22.2801875
Hong Kong,Rickshaw Sightseeing Bus,79,4.1,Tourist attraction,114.160312,22.2865625
Hong Kong,Kiu Tsui Country Park,603,4.2,Country park,114.295438,22.3611875
Hong Kong,Ap Lei Chau Bridge,317,4.1,Bridge,114.159687,22.2455625
Hong Kong,Iron Man Tech Showcase,57,4.3,Tourist attraction,114.042438,22.3140625
Hong Kong,Sik Sik Yuen Wong Tai Sin Temple,4929,4.2,Place of worship,114.193312,22.3426875
Hong Kong,The Cenotaph,148,4.4,Memorial park,114.160562,22.2815625
Hong Kong, Tai Cham Koi,270,4.2,Tourist attraction,114.341063,22.4038125
Hong Kong,Hong Kong Zoological and Botanical Gardens Green House,350,4.2,Greenhouse,114.156062,22.2768125
Hong Kong,Shrine of the Earth God,32,3.6,Tourist attraction,114.005812,22.4464375
Hong Kong,Sam Tung Uk Museum,603,4,Museum,114.120313,22.3719375
Hong Kong,UNESCO Geopark Volcano Discovery Centre,185,4.1,Museum,114.274063,22.3824375
Hong Kong,Hong Kong Racing Museum,321,4.2,Museum,114.180062,22.2744375
Hong Kong,Pacific Pier,168,4.3,Aquarium,114.169687,22.2329375
Hong Kong,Hong Kong Museum of Art,2018,4.4,Art museum,114.172187,22.2934375
Hong Kong,Tsin Yue Wan,50,3.8,Tourist attraction,113.841813,22.2178125
Hong Kong,Hong Kong Temple,257,4.6,Church of Jesus Christ of Latter-day Saints,114.177312,22.3404375
Hong Kong,Stephen Hui Geological Museum The University of Hong Kong,86,4.4,Natural history museum,114.137563,22.2825625
Hong Kong,Graham Street Market,81,4,Market,114.153562,22.2829375
Hong Kong,Repulse Bay Beach,5101,4.3,Tourist attraction,114.196313,22.2364375
Hong Kong,Giant Panda Adventure,305,4.4,Zoo,114.176687,22.2455625
Hong Kong,Hong Kong House of Stories,37,3.9,Heritage museum,114.174062,22.2739375
Hong Kong,Tamar Park,1091,4.3,Park,114.165812,22.2815625
Hong Kong,Fu Shan Viewing Point Viewing of Chinese White Dolphins,620,4.3,Observation deck,113.857813,22.2596875
Hong Kong,Ocean Park Thrill Mountain,145,4.4,Theme park,114.171437,22.2346875
Paris,The park,,,Tourist attraction,2.3600625,48.8499375
Hong Kong,Aberdeen Country Park,2258,4.2,Country park,114.166563,22.2600625
Hong Kong,Fairy Tale Forest,79,4.3,Amusement park ride,114.040063,22.3120625
Hong Kong,Kadoorie Farm and Botanic Garden,2400,4.3,Botanical garden,114.117938,22.4333125
Hong Kong,Quarry Bay Park,1260,4.1,Park,114.215438,22.2884375
Hong Kong,Kwong Hon Terrace Garden,76,4.1,Park,114.151813,22.2824375
Hong Kong,Pak Tso Wan,74,4.2,Tourist attraction,114.021687,22.1975625
Hong Kong,Hong Kong Science Museum,1471,4.4,Museum,114.177687,22.3010625
Hong Kong,Hong Kong Visual Arts Centre,240,4,Art center,114.159437,22.2766875
Hong Kong,Duddell Street Steps and Gas Lamps,710,4,Historical landmark,114.156687,22.2796875
Hong Kong,Hong Kong Self-Guided Walking Tours,,,Tourist attraction,114.164562,22.2835625
Hong Kong,South Bay Beach,638,4.3,Beach pavillion,114.197437,22.2249375
Hong Kong,SuperPark Hong Kong,1256,4,Theme park,,
Hong Kong,Tang Contemporary Art Hong Kong,54,4.1,Art gallery,114.155312,22.2829375
Hong Kong,Chai Wan Park,1710,3.9,Park,114.238438,22.2666875
Hong Kong,Ancient Kiln Park and Hong Kong International Airport Historical Garden,84,3.4,Park,113.934813,22.2964375
Hong Kong,Amazing Asian Animals,228,4.3,Zoo,114.176313,22.2455625
Hong Kong,Kung Chung Temple,69,4.3,Buddhist temple,114.136938,22.4919375
Hong Kong,Hong Kong Catholic Cathedral of the Immaculate Conception,569,4.6,Catholic cathedral,114.153937,22.2791875
Hong Kong,Pui O Beach,1487,4.2,Beach pavillion,113.976813,22.2396875
Hong Kong,Lion Rock Park,1489,4.3,Park,114.184313,22.3449375
Hong Kong,Kiang Malingue,41,4.2,Art gallery,114.148688,22.2504375
Hong Kong,Lantau South Country Park,1358,4.3,Country park,113.984438,22.2566875
Hong Kong,Gallery by the Harbour,33,4.2,Art gallery,114.168687,22.2979375
Hong Kong,Lung Fu Shan Morning Trail,606,4.4,Hiking area,114.138688,22.2795625
Hong Kong,Shek O Country Park,2711,4.4,Country park,114.232688,22.2540625
Hong Kong,Hang Hau Man Kuk Lane Park,1353,4.1,Park,114.265438,22.3130625
Hong Kong,Hong Kong Jockey Club Atrium,9,4.1,Scenic spot,114.263688,22.3375625
Hong Kong,Jockey Club Tak Wah Park,1951,3.6,Park,114.118438,22.3701875
Hong Kong,Law Uk Folk Museum,196,3.3,Museum,114.235438,22.2643125
Hong Kong,Art Museum The Chinese University of Hong Kong,156,4.2,Museum,114.206188,22.4193125
Hong Kong,Fung Yuen Butterfly Reserve,362,4,Nature preserve,114.179437,22.4671875
Hong Kong,Tsang Tai Uk,204,3.9,Historical landmark,114.190563,22.3739375
Hong Kong,Po Kong Village Road Park,1412,4.1,Park,114.204687,22.3435625
Hong Kong,Sha Chau and Lung Kwu Chau Marine Park,5,4,Park,113.882563,22.3633125
