Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,57,89,147,165,167,179,121,86,62,16,50,85,75,..,..
ALBANIA,70,94,34,60,218,398,451,492,537,756,880,"1,057","1,479","1,850","2,013","1,778","1,833","1,623","1,670","1,849","1,613","1,821","2,050","2,306","2,458","1,243","2,480","3,255"
ALGERIA,..,..,..,..,..,..,..,..,..,..,477,393,334,473,361,324,300,295,326,316,347,246,171,196,140,50,79,219
AMERICAN SAMOA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANDORRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,910","1,351","1,893",..
ANGOLA,27,38,24,39,31,34,35,51,63,82,103,91,236,293,554,726,653,711,"1,241","1,597","1,171",628,884,557,395,19,23,24
ANGUILLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,137,142,147,153,127,177,52,63,140
ANTIGUA AND BARBUDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803,802,844,820,855,994,430,556,818
ARGENTINA,"2,550","2,975","3,153","3,353","3,175","3,195","2,756","1,716","2,306","2,660","3,209","3,926","5,030","5,273","4,455","5,605","6,058","5,665","5,199","5,645","5,441","5,466","5,830","5,999","5,654","1,793",433,"3,694"
ARMENIA,14,18,33,41,47,52,81,81,90,189,243,406,522,564,570,694,762,853,905,994,956,"1,037","1,224","1,358","1,553",297,813,"2,513"
ARUBA,554,666,726,786,782,850,825,835,858,"1,057","1,097","1,064","1,213","1,352","1,223","1,254","1,358","1,412","1,506","1,625","1,659","1,757","1,855","2,035","2,109","1,079","1,788","2,305"
AUSTRALIA,"10,370","11,882","11,735","10,169","11,408","11,594","11,333","12,148","14,981","18,032","19,719","20,408","25,024","27,189","26,909","31,064","34,315","34,137","35,159","37,996","36,249","39,059","43,990","47,327","47,953","26,235","17,132","24,214"
AUSTRIA,"14,529","13,980","12,275","12,694","12,358","11,382","11,511","12,334","15,128","17,251","18,471",..,..,..,..,..,..,..,..,..,"20,422","20,965","22,424","25,413","25,932","15,194","11,411","19,175"
AZERBAIJAN,87,57,176,143,93,68,57,63,70,79,100,201,317,382,545,792,"1,500","2,634","2,618","2,713","2,535","2,855","3,214","2,830","2,004",340,368,942
