Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,38,70,106,255,110,138,140,151,89,130,226,168,49,..,..
ALBANIA,19,25,13,22,35,290,269,386,507,669,808,989,"1,331","1,644","1,692","1,452","1,677","1,374","1,567","1,689","1,311","1,338","1,473","1,750","1,852",805,"1,325","1,937"
ALGERIA,..,..,..,..,..,..,..,..,..,..,660,414,502,613,574,716,595,598,531,679,762,556,632,542,670,272,222,444
AMERICAN SAMOA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANDORRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187,132,192,..
ANGOLA,113,110,125,96,142,146,80,52,49,86,135,393,473,447,270,275,323,288,316,505,389,823,"1,216",762,717,691,800,"1,898"
ANGUILLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,16,13,13,15,6,3,7
ANTIGUA AND BARBUDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,95,101,106,112,125,47,54,64
ARGENTINA,"4,013","4,449","4,973","5,282","5,228","5,460","4,888","2,744","2,997","3,208","3,554","4,047","5,077","5,987","5,808","6,448","7,602","8,466","8,421","7,837","9,348","12,273","14,180","13,084","9,845","3,296","1,867","7,410"
ARMENIA,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,"1,007","1,101","1,057","1,033","1,218","1,335","1,543",301,514,"1,378"
ARUBA,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,350,357,319,349,394,399,285,339,393
AUSTRALIA,"7,605","8,545","8,880","8,307","8,798","9,065","8,184","8,640","10,434","14,702","16,153","17,293","22,052","25,557","22,680","27,851","33,967","35,226","40,732","38,827","34,071","35,718","39,093","42,864","40,089","7,754","1,995","20,227"
AUSTRIA,"11,686","11,777","10,672","10,399","7,517","7,001","7,408","7,743","9,761","10,812","11,077",..,..,..,..,..,..,..,..,..,"11,337","11,634","12,878","14,110","13,991","5,157","8,245","11,466"
AZERBAIJAN,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,"1,778","2,617","3,032","3,163","2,743","2,593","2,803","2,453","1,839",439,655,"1,062"
BAHAMAS,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,347,440,554,519,514,167,253,331
BAHRAIN,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,"1,001",758,"4,939","3,267","3,178","2,522","2,637",844,..,..
BANGLADESH,..,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,"1,308",782,827,843,"1,127","1,207","1,389",618,891,"1,889"
BARBADOS,110,114,120,126,132,141,149,146,153,163,158,166,177,154,128,145,114,100,102,115,119,99,51,..,..,..,..,..
BELARUS,101,142,122,138,133,247,486,527,436,500,516,675,724,860,752,748,729,948,"1,333","1,308",997,891,"1,082","1,170","1,225",511,644,..
BELGIUM,..,..,..,..,..,..,"10,878","11,270","13,402","15,456","16,771","17,891","19,211",..,"20,813","20,884","22,836","22,357","24,507","26,444","15,856","16,522","17,835","20,789","20,924","13,881","15,522","17,705"
BELIZE,33,38,30,33,39,44,45,48,50,47,45,43,46,44,43,39,37,39,42,51,50,55,53,50,45,22,40,62
BENIN,48,51,34,32,63,50,48,49,53,59,58,71,107,102,88,91,81,96,40,54,141,87,148,76,130,79,97,..
BERMUDA,..,..,..,..,..,..,..,..,..,..,..,394,453,459,407,417,326,327,322,378,363,373,369,334,342,212,233,..
BHUTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,65,34,43,58,69,67,43,44,52,63,79,67,50,18,39
"BOLIVIA, PLURINATIONAL STATE OF",72,87,96,98,117,116,114,114,197,232,257,360,385,381,388,421,410,502,660,953,849,960,997,"1,009","1,072",327,394,777
BONAIRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOSNIA AND HERZEGOVINA,..,..,..,97,101,92,96,112,145,162,158,210,264,345,285,247,214,196,198,205,278,290,346,378,393,189,304,436
BOTSWANA,153,92,104,138,155,209,215,197,235,280,283,280,282,230,232,299,316,297,262,277,256,237,253,278,295,90,78,104
BRAZIL,"3,982","4,988","6,208","6,019","3,551","4,548","3,765","2,929","2,874","3,752","5,905","7,501","10,434","13,269","12,897","18,883","24,608","26,008","29,286","29,998","20,356","17,068","22,992","22,229","21,178","6,490","6,252","15,426"
BRITISH VIRGIN ISLANDS,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRUNEI DARUSSALAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,129
BULGARIA,312,314,355,654,747,764,836,"1,018","1,467","1,935","1,858","2,099","2,142","2,602","1,955",975,"1,063","1,096","1,342","1,459","1,346","1,636","2,047","2,247","2,196","1,263","1,516","1,833"
BURKINA FASO,..,..,..,..,..,30,35,36,50,67,74,84,93,110,111,110,129,146,215,176,160,176,182,191,185,135,152,..
BURUNDI,..,..,..,..,..,..,..,..,..,29,62,126,106,151,71,35,49,..,..,..,..,..,..,..,..,..,..,..
CABO VERDE,20,24,25,32,47,41,55,63,89,93,82,106,123,143,145,138,142,135,127,115,109,79,100,107,105,63,72,73
CAMBODIA,22,31,28,35,41,52,59,64,60,80,137,176,194,180,163,131,344,406,469,527,641,762,919,"1,080","1,162",213,54,535
CAMEROON,140,155,175,210,192,241,199,205,272,394,480,521,466,563,476,265,622,668,795,830,742,818,845,915,984,697,830,722
CANADA,"12,658","13,815","14,151","13,384","13,999","15,125","14,634","14,257","16,309","19,267","22,746","26,068","31,101","33,843","30,225","37,225","41,247",..,..,..,..,..,..,..,..,..,..,..
CAYMAN ISLANDS,..,..,..,..,..,..,..,..,..,..,..,164,132,130,120,129,145,183,192,168,191,194,271,284,299,161,155,..
CENTRAL AFRICAN REPUBLIC,43,44,51,44,33,33,29,29,31,32,46,47,54,56,61,67,68,69,96,92,70,158,190,169,201,174,..,..
CHAD,38,49,53,66,53,56,56,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CHILE,934,977,"1,132","1,174","1,032",904,939,932,"1,109","1,251","1,114","1,238","1,408","1,386","1,511","1,736","2,085","2,469","2,566","2,763","2,562","2,778","3,135","3,170","3,177",744,570,"2,333"
CHINA,..,..,"9,220","9,943","11,621","14,169","14,992","16,759","16,716","21,360",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COLOMBIA,"1,162","1,431","1,560","1,455","1,339","1,452","1,556","1,355","1,349","1,543","1,934","2,171","2,501","2,819","2,841","3,228","3,689","4,461","4,592","5,299","4,890","4,891","5,136","5,531","5,658","1,540","2,991","5,012"
COMOROS,15,..,..,..,..,..,..,..,8,9,19,24,28,31,30,33,37,36,..,40,34,38,42,48,53,43,67,97
CONGO,69,86,68,69,71,59,82,85,118,176,..,..,157,217,549,312,327,308,360,435,557,457,..,..,193,72,..,..
