Country,Number of establishments,Number of rooms,Number of bed-places,Occupancy rate / rooms,Occupancy rate / bed-places,Average length of stay
AFGHANISTAN,..,..,..,..,..,..
ALBANIA,"1,385","42,464","96,986",18.90,19.00,2.40
ALGERIA,"1,576",..,"145,526",..,..,2.00
AMERICAN SAMOA,..,..,..,..,..,..
ANDORRA,226,"11,660","31,736",..,..,2.93
ANGOLA,247,"15,728","18,590",27.78,21.09,..
ANGUILLA,..,..,..,..,..,..
ANTIGUA AND BARBUDA,..,..,..,..,..,..
ARGENTINA,"15,713","267,778","714,353",49.17,39.69,2.51
ARMENIA,"1,778","19,398","38,796",..,89.00,11.00
ARUBA,..,"11,929","23,858",..,..,..
AUSTRALIA,"5,945","316,146",..,66.50,..,..
AUSTRIA,"11,240","290,698","606,442",..,35.01,3.44
AZERBAIJAN,757,"27,312","56,562",..,13.70,1.59
BAHAMAS,317,"15,724","31,448",59.00,..,..
BAHRAIN,139,"21,467","26,142",39.00,..,2.20
BANGLADESH,..,..,..,..,..,..
BARBADOS,..,..,..,..,..,..
BELARUS,601,"19,795","37,877",56.14,29.34,2.14
BELGIUM,"3,711","79,524","204,876",..,..,..
BELIZE,863,"8,239","12,142",28.97,..,..
BENIN,..,..,..,..,..,..
BERMUDA,42,"2,522","5,826",53.40,..,..
BHUTAN,..,..,..,..,..,..
"BOLIVIA, PLURINATIONAL STATE OF","1,424","30,383","50,004",..,..,..
BONAIRE,..,..,..,..,..,..
BOSNIA AND HERZEGOVINA,623,"18,177","38,814",30.00,23.00,..
BOTSWANA,..,..,..,..,..,..
BRAZIL,..,..,..,..,..,..
BRITISH VIRGIN ISLANDS,..,..,..,..,..,..
BRUNEI DARUSSALAM,..,..,..,..,..,..
BULGARIA,"2,276","130,060","294,183",53.50,38.10,3.17
BURKINA FASO,"1,091","16,847","33,184",23.70,12.20,2.10
BURUNDI,..,..,..,..,..,..
CABO VERDE,296,"15,257","28,851",..,52.00,4.80
CAMBODIA,..,..,..,..,75.10,..
CAMEROON,..,..,..,..,..,..
CANADA,..,..,..,..,..,..
CAYMAN ISLANDS,..,..,..,..,..,..
CENTRAL AFRICAN REPUBLIC,..,..,..,..,..,..
CHAD,..,..,..,..,..,..
CHILE,..,..,..,40.45,24.49,2.06
CHINA,"7,337","1,114,100","2,046,700",38.35,..,..
COLOMBIA,"38,523","361,710","606,446",..,..,..
COMOROS,..,..,..,..,..,..
CONGO,..,..,..,..,..,..
"CONGO, DEMOCRATIC REPUBLIC OF THE",..,..,..,..,..,..
COOK ISLANDS,..,..,..,..,..,..
COSTA RICA,"3,133","53,651",..,62.70,..,13.55
COTE D´IVOIRE,"4,677","73,325","130,932",53.22,..,3.00
CROATIA,"1,074","81,500","170,737",36.69,36.95,3.56
CUBA,350,"75,044","110,842",27.42,..,..
CURAÇAO,..,..,..,..,..,..
CYPRUS,..,..,..,..,..,..
CZECH REPUBLIC (CZECHIA),"7,836","170,867","413,801",38.16,32.97,2.59
DENMARK,618,"57,241","117,447",59.00,45.00,..
DJIBOUTI,42,"1,633","2,603",33.46,18.53,..
DOMINICA,..,..,..,..,..,..
DOMINICAN REPUBLIC,883,"86,250","250,124",71.40,..,7.70
ECUADOR,"4,440","95,503","198,114",..,..,..
EGYPT,"1,207","393,570","425,178",46.00,..,..
EL SALVADOR,578,"9,518","16,740",..,52.00,8.50
EQUATORIAL GUINEA,..,..,..,..,..,..
ERITREA,..,..,..,..,..,..
ESTONIA,426,"16,709","35,406",49.00,40.00,1.73
ESWATINI,189,"3,243","6,148",29.90,28.55,1.48
ETHIOPIA,..,..,..,..,..,..
FIJI,..,"8,648","19,402",45.74,44.00,..
FINLAND,788,"63,396","140,871",49.01,38.04,1.79
FRANCE,"17,527","672,513","1,354,728",..,..,..
FRENCH GUIANA,..,..,..,..,..,..
FRENCH POLYNESIA,..,"3,943",..,68.80,..,17.10
GABON,..,..,..,..,..,..
GAMBIA,52,"3,940","8,257",..,..,..
GEORGIA,"2,213","45,807","97,834",..,..,..
GERMANY,"29,332","986,164","1,971,314",54.90,40.36,2.20
GHANA,"4,190",..,..,..,..,14.00
GREECE,"10,087","443,835","880,624",..,51.10,4.22
GRENADA,122,"2,448","3,291",53.47,..,9.27
GUADELOUPE,..,..,..,..,..,..
GUAM,..,"8,723",..,59.10,..,..
GUATEMALA,"3,345","57,191","157,070",50.17,..,..
GUINEA,..,..,..,..,..,..
GUINEA-BISSAU,..,..,..,..,..,..
GUYANA,176,"3,414",..,..,..,..
HAITI,..,..,..,..,..,..
HONDURAS,"1,829","31,741",..,..,..,..
"HONG KONG, CHINA","1,672","100,694",..,66,..,..
HUNGARY,"2,219","76,202","184,744",59.50,50.40,2.90
ICELAND,..,..,..,..,..,..
INDIA,..,..,..,..,..,..
INDONESIA,"29,742","788,892","1,169,006",47.35,58.94,1.64
"IRAN, ISLAMIC REPUBLIC OF","13,101","171,745","468,593",..,..,..
IRAQ,..,..,..,..,..,..
IRELAND,..,..,..,..,..,..
ISRAEL,448,"57,291","148,250",60.10,47.30,2.36
