name_en,date_inscribed,longitude,latitude,area_hectares,category,states_name_en,region_en
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003,67.82525,34.84694,158.9265,Cultural,Afghanistan,Asia and the Pacific
Minaret and Archaeological Remains of Jam,2002,64.51588889,34.39641667,70,Cultural,Afghanistan,Asia and the Pacific
Historic Centres of Berat and Gjirokastra,2005,20.14083333,40.07416667,58.9,Cultural,Albania,Europe and North America
Butrint,1992,20.02095,39.745732,,Cultural,Albania,Europe and North America
Al Qal'a of Beni Hammad,1980,4.78684,35.81844,150,Cultural,Algeria,Arab States
Tassili n'Ajjer,1982,9,25.5,7200000,Mixed,Algeria,Arab States
M'Zab Valley,1982,3.68333,32.48333,665.03,Cultural,Algeria,Arab States
Djémila,1982,5.73667,36.32056,30.6,Cultural,Algeria,Arab States
Tipasa,1982,2.383333333,36.55,52.16,Cultural,Algeria,Arab States
Timgad,1982,6.468861111,35.48416667,90.54,Cultural,Algeria,Arab States
Kasbah of Algiers,1992,3.06028,36.78333,54.7,Cultural,Algeria,Arab States
Madriu-Perafita-Claror Valley,2004,1.595555556,42.49472222,4247,Cultural,Andorra,Europe and North America
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",2017,14.24972222,-6.268888889,89.29,Cultural,Angola,Africa
Antigua Naval Dockyard and Related Archaeological Sites,2016,-61.76166667,17.00694444,255,Cultural,Antigua and Barbuda,Latin America and the Caribbean
Los Glaciares National Park,1981,-73.24944,-50,726927,Natural,Argentina,Latin America and the Caribbean
Iguazu National Park,1984,-54.286073,-25.577357,55000,Natural,Argentina,Latin America and the Caribbean
"Cueva de las Manos, Río Pinturas",1999,-70.66666667,-47.15,600,Cultural,Argentina,Latin America and the Caribbean
Península Valdés,1999,-64,-42.5,360000,Natural,Argentina,Latin America and the Caribbean
Ischigualasto / Talampaya Natural Parks,2000,-68,-30,275369,Natural,Argentina,Latin America and the Caribbean
Jesuit Block and Estancias of Córdoba,2000,-64.19111,-31.42056,38.12,Cultural,Argentina,Latin America and the Caribbean
Quebrada de Humahuaca,2003,-65.34886111,-23.19986111,172116.4375,Cultural,Argentina,Latin America and the Caribbean
Los Alerces National Park,2017,-71.8728,-42.8528,188379,Natural,Argentina,Latin America and the Caribbean
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",2023,-58.46533333,-34.53664167,0.907,Cultural,Argentina,Latin America and the Caribbean
Monasteries of Haghpat and Sanahin,1996,44.71028,41.095,2.65,Cultural,Armenia,Europe and North America
Monastery of Geghard and the Upper Azat Valley,2000,44.818525,40.140439,2.7,Cultural,Armenia,Europe and North America
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,2000,44.29514,40.15931,74.3,Cultural,Armenia,Europe and North America
Kakadu National Park,1981,132.8333333,-12.83333333,1980994.92,Mixed,Australia,Asia and the Pacific
Great Barrier Reef,1981,147.7,-18.28611111,34870000,Natural,Australia,Asia and the Pacific
Sydney Opera House,2007,151.2152778,-33.85666667,5.8,Cultural,Australia,Asia and the Pacific
Willandra Lakes Region,1981,143,-34,240000,Mixed,Australia,Asia and the Pacific
Tasmanian Wilderness,1982,146.2305556,-43.11847222,1584233,Mixed,Australia,Asia and the Pacific
Lord Howe Island Group,1982,159.0883333,-31.56555556,146300,Natural,Australia,Asia and the Pacific
Gondwana Rainforests of Australia,1986,150.05,-28.25,370000,Natural,Australia,Asia and the Pacific
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,1987,131,-25.33333333,132566,Mixed,Australia,Asia and the Pacific
Wet Tropics of Queensland,1988,144.9666667,-15.65,893453,Natural,Australia,Asia and the Pacific
Heard and McDonald Islands,1997,73.5,-53.1,658903,Natural,Australia,Asia and the Pacific
"Shark Bay, Western Australia",1991,113.4361111,-25.48611111,2200902,Natural,Australia,Asia and the Pacific
Macquarie Island,1997,158.8955556,-54.59472222,557280,Natural,Australia,Asia and the Pacific
K’gari (Fraser Island),1992,153.1333333,-25.21666667,181851,Natural,Australia,Asia and the Pacific
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),1994,138.7166667,-19.08333333,10326,Natural,Australia,Asia and the Pacific
Greater Blue Mountains Area,2000,150,-33.7,1032649,Natural,Australia,Asia and the Pacific
Purnululu National Park,2003,128.5,-17.5,239723,Natural,Australia,Asia and the Pacific
Royal Exhibition Building and Carlton Gardens,2004,144.9702778,-37.80611111,26,Cultural,Australia,Asia and the Pacific
Australian Convict Sites,2010,150.9944444,-33.37833333,1502.51,Cultural,Australia,Asia and the Pacific
Ningaloo Coast,2011,113.8102778,-22.5625,705015,Natural,Australia,Asia and the Pacific
Budj Bim Cultural Landscape,2019,141.8852778,-38.08111111,9935,Cultural,Australia,Asia and the Pacific
Murujuga Cultural Landscape,2025,116.6685278,-20.56502778,99.881,Cultural,Australia,Asia and the Pacific
Historic Centre of the City of Salzburg,1996,13.04333333,47.80055556,236,Cultural,Austria,Europe and North America
Semmering Railway,1998,15.82797222,47.64877778,156.18,Cultural,Austria,Europe and North America
Palace and Gardens of Schönbrunn,1996,16.31333333,48.18666667,186.28,Cultural,Austria,Europe and North America
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,1997,13.64638889,47.55944444,28637,Cultural,Austria,Europe and North America
City of Graz – Historic Centre and Schloss Eggenberg,1999,15.43861111,47.07305556,91.094,Cultural,Austria,Europe and North America
Wachau Cultural Landscape,2000,15.43416667,48.36444444,18462,Cultural,Austria,Europe and North America
Historic Centre of Vienna,2001,16.3699,48.2094,371,Cultural,Austria,Europe and North America
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,2000,49.83333333,40.36666667,21.5,Cultural,Azerbaijan,Europe and North America
Gobustan Rock Art Cultural Landscape,2007,49.375,40.125,537.22,Cultural,Azerbaijan,Europe and North America
Historic Centre of Sheki with the Khan’s Palace,2019,47.1875,41.20333333,120.5,Cultural,Azerbaijan,Europe and North America
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,2023,48.8854,40.7059,44829.41,Cultural,Azerbaijan,Europe and North America
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,2005,50.52722222,26.23306,70.4,Cultural,Bahrain,Arab States
"Pearling, Testimony of an Island Economy",2012,50.61351,26.24128,35086.81,Cultural,Bahrain,Arab States
Dilmun Burial Mounds,2019,50.51277778,26.14972222,168.45,Cultural,Bahrain,Arab States
Historic Mosque City of Bagerhat,1985,89.8,22.66667,0,Cultural,Bangladesh,Asia and the Pacific
Ruins of the Buddhist Vihara at Paharpur,1985,88.98333333,25.03333333,0,Cultural,Bangladesh,Asia and the Pacific
The Sundarbans,1997,89.18333,21.95,139500,Natural,Bangladesh,Asia and the Pacific
Historic Bridgetown and its Garrison,2011,-59.61388889,13.09666667,187,Cultural,Barbados,Latin America and the Caribbean
Mir Castle Complex,2000,26.47272222,53.45108333,27,Cultural,Belarus,Europe and North America
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",2005,26.69139,53.22278,0,Cultural,Belarus,Europe and North America
Flemish Béguinages,1998,4.47375,51.03097222,59.95,Cultural,Belgium,Europe and North America
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",1998,4.13722,50.48111,67.3436,Cultural,Belgium,Europe and North America
"La Grand-Place, Brussels",1998,4.35242,50.84668,1.48,Cultural,Belgium,Europe and North America
Historic Centre of Brugge,2000,3.22527,51.20891,410,Cultural,Belgium,Europe and North America
Major Town Houses of the Architect Victor Horta (Brussels),2000,4.36223,50.82806,0,Cultural,Belgium,Europe and North America
Neolithic Flint Mines at Spiennes (Mons),2000,3.982268911,50.42011348,172,Cultural,Belgium,Europe and North America
Notre-Dame Cathedral in Tournai,2000,3.38926,50.60603,0.4963,Cultural,Belgium,Europe and North America
Plantin-Moretus House-Workshops-Museum Complex,2005,4.39778,51.21833,0.23,Cultural,Belgium,Europe and North America
Stoclet House,2009,4.416111111,50.835,0.86,Cultural,Belgium,Europe and North America
Major Mining Sites of Wallonia,2012,3.838333333,50.43527778,118.07,Cultural,Belgium,Europe and North America
Belize Barrier Reef Reserve System,1996,-87.846213,17.190549,96300,Natural,Belize,Latin America and the Caribbean
Royal Palaces of Abomey,1985,1.983333333,7.183333333,47.6,Cultural,Benin,Africa
City of Potosí,1987,-65.749813,-19.599112,2211,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Jesuit Missions of the Chiquitos,1990,-60.5,-16,0,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Historic City of Sucre,1991,-65.259592,-19.04799,0,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,2000,-68.673278,-16.555003,71.5,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Fuerte de Samaipata,1998,-63.820485,-18.178323,0,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Noel Kempff Mercado National Park,2000,-60.86667,-14.26667,1523446,Natural,Bolivia (Plurinational State of),Latin America and the Caribbean
Old Bridge Area of the Old City of Mostar,2005,17.815,43.33730556,7.6,Cultural,Bosnia and Herzegovina,Europe and North America
Mehmed Paša Sokolović Bridge in Višegrad,2007,19.288025,43.78144444,1.5,Cultural,Bosnia and Herzegovina,Europe and North America
