Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Number of establishments,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Number of rooms,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Number of bed-places,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Occupancy rate / rooms,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Occupancy rate / bed-places,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Average length of stay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ALBANIA,Number of establishments,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,021","1,126","1,237","1,256","1,385"
ALBANIA,Number of rooms,..,..,..,..,..,..,..,"2,283","2,337","2,376","4,341","4,834","6,876","10,112","10,118","14,328","12,428","14,652","14,146","15,081","12,986","17,692",..,"30,524","33,798","34,713","35,802","42,464"
ALBANIA,Number of bed-places,..,..,..,..,..,..,..,"4,532","4,956","5,539","7,583","9,204","14,700","20,539","22,638","25,110","24,301","32,004","29,737","32,879","29,903","41,376",..,"69,395","77,974","82,434","85,403","96,986"
ALBANIA,Occupancy rate / rooms,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.53,21.81,10.59,17.50,18.90
ALBANIA,Occupancy rate / bed-places,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.38,24.41,10.12,17.00,19.00
ALBANIA,Average length of stay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43,2.58,2.34,2.60,2.40
ALGERIA,Number of establishments,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,195","1,231","1,289","1,368","1,417","1,449","1,502","1,576"
