Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Personal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AFGHANISTAN,Business and professional,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ALBANIA,Personal,..,..,..,106,172,218,243,370,470,582,680,889,"1,060","1,340","1,804","2,370","2,889","3,472","3,206","3,624","4,089","4,677","5,050","5,840","6,305","2,543","5,588","7,438"
ALBANIA,Business and professional,..,..,..,63,169,77,97,100,88,63,68,48,66,79,52,47,43,42,50,48,42,59,69,87,101,115,100,106
ALGERIA,Personal,..,..,..,..,..,..,..,..,240,267,323,321,326,359,429,377,630,702,672,612,723,942,"1,470","1,838","1,776",475,22,701
ALGERIA,Business and professional,..,..,..,..,..,..,..,..,65,101,118,146,185,197,227,278,272,280,292,329,360,380,238,181,158,36,45,56
AMERICAN SAMOA,Personal,28.0,29.0,19.0,29.0,34.0,34.0,28.3,..,..,..,20.1,20.7,18.9,18.9,17.1,17.2,17.2,17.1,16.6,17.5,16.3,16.6,16.8,16.6,..,..,..,..
AMERICAN SAMOA,Business and professional,6.0,5.0,7.0,7.0,7.0,10.0,7.7,..,..,..,4.4,4.6,5.2,5.3,6.4,5.9,5.4,5.5,4.2,4.1,4.0,3.5,3.2,3.5,..,..,..,..
ANDORRA,Personal,..,..,..,..,..,..,"10,687","10,907","10,975","10,978","10,405","10,244","10,288","9,798","8,616","7,959","7,896","7,814","7,569","7,680","7,678","7,881","8,022","8,153","8,046","4,887","5,242","8,203"
ANDORRA,Business and professional,..,..,..,..,..,..,664,601,626,691,645,493,456,396,496,592,87,86,107,117,173,145,130,175,189,320,180,224
ANGOLA,Personal,6,18,39,43,39,46,56,62,88,173,182,98,166,235,289,313,246,289,386,360,320,291,187,167,168,57,58,92
ANGOLA,Business and professional,3,3,6,9,6,5,11,29,19,21,28,24,28,59,76,112,235,239,264,235,272,107,74,51,50,6,6,37
ANGUILLA,Personal,105,84,111,111,104,109,101,107,105,117,138,160,156,122,109,115,121,127,148,174,182,171,148,84,163,40,28,94
