GeoAreaName,TimePeriod,Value,GeoAreaCode
Albania,2008,2.75707,8
Albania,2009,2.66869,8
Albania,2010,2.81234,8
Albania,2011,2.53477,8
Albania,2012,2.35697,8
Albania,2013,2.32137,8
Albania,2014,2.32641,8
Albania,2015,2.44379,8
Albania,2016,2.63697,8
Albania,2017,2.83579,8
Albania,2018,3.08301,8
Albania,2019,3.54724,8
Albania,2020,2.5657,8
Albania,2021,3.02029,8
Albania,2022,3.77704,8
Albania,2023,5.56238,8
Algeria,2008,0.77914,12
Algeria,2009,1.01034,12
Algeria,2010,0.95513,12
Algeria,2011,0.82206,12
Algeria,2012,0.87226,12
Algeria,2013,1.00661,12
Algeria,2014,1.03,12
Algeria,2015,1.15092,12
Algeria,2016,1.28468,12
Algeria,2017,1.37483,12
Algeria,2018,1.39329,12
Algeria,2019,1.38079,12
Algeria,2020,0.60856,12
Algeria,2021,0.81195,12
Algeria,2022,1.08616,12
Algeria,2023,1.39349,12
Antigua and Barbuda,2011,10.53691,28
Antigua and Barbuda,2012,10.22042,28
Antigua and Barbuda,2013,10.67817,28
Antigua and Barbuda,2014,10.93971,28
Antigua and Barbuda,2015,11.28182,28
Antigua and Barbuda,2016,11.3816,28
Antigua and Barbuda,2017,10.83745,28
Antigua and Barbuda,2018,10.69594,28
Antigua and Barbuda,2019,10.63667,28
Antigua and Barbuda,2020,7.52403,28
Antigua and Barbuda,2021,9.73113,28
Antigua and Barbuda,2022,11.70779,28
Azerbaijan,2016,3.7,31
Azerbaijan,2022,2.22808,31
Azerbaijan,2023,3.73161,31
Argentina,2016,1.91767,32
Argentina,2017,1.98626,32
Argentina,2018,1.83979,32
Argentina,2019,1.77327,32
Argentina,2020,0.88322,32
Argentina,2021,0.84015,32
Argentina,2022,1.68395,32
Australia,2008,2.7,36
Australia,2009,2.8,36
Australia,2010,2.6,36
Australia,2011,2.6,36
Australia,2012,2.6,36
Australia,2013,2.5,36
Australia,2014,2.7,36
Australia,2015,2.9,36
Australia,2016,2.9,36
Australia,2017,2.9,36
Australia,2018,3.1,36
Australia,2019,2.4,36
Australia,2020,1.5,36
Australia,2021,1.6,36
Australia,2022,2.8,36
Australia,2023,2.9,36
Austria,2018,5.19838,40
Austria,2019,5.33122,40
Austria,2020,3.36035,40
Austria,2021,2.6604,40
Bahamas,2012,15.16544,44
Bahrain,2015,5.17559,48
Bahrain,2016,6.89328,48
Bahrain,2017,6.93861,48
Bahrain,2018,5.78345,48
Bahrain,2019,6.21983,48
Bahrain,2020,1.46388,48
Bahrain,2021,3.03483,48
Bahrain,2022,5.64767,48
Bahrain,2023,7.13505,48
Bangladesh,2019,3.02,50
Belgium,2016,2.18169,56
Belgium,2019,1.855,56
Belgium,2020,3.16,56
Belgium,2021,3.54,56
Belgium,2022,3.43,56
Bermuda,2008,4.9,60
Bermuda,2009,4.3,60
Bermuda,2010,5.2,60
Bermuda,2011,5.7,60
Bermuda,2012,5.2,60
Bermuda,2013,5,60
Bermuda,2014,4.6,60
Bermuda,2015,4.2,60
Bermuda,2016,4.7,60
Bermuda,2017,4.8,60
Bermuda,2018,5.3,60
Bermuda,2019,5.1,60
Bermuda,2020,1.8,60
Bermuda,2021,2.2,60
Bhutan,2019,9.52137,64
Botswana,2009,3.7,72
Botswana,2016,4.9,72
Botswana,2019,5.1,72
British Virgin Islands,2010,30.27512,92
